symbol,exchange,date,open,high,low,close,volume
MSFT,XNAS,2025-06-16T00:00:00+00:00,475.21,480.6943,475.0,479.14,15626104
MSFT,XNAS,2025-06-17T00:00:00+00:00,475.395,478.7399,474.08,478.04,15414128
MSFT,XNAS,2025-06-18T00:00:00+00:00,478.0,481.0,474.46,480.24,17526452
MSFT,XNAS,2025-06-20T00:00:00+00:00,482.23,483.46,476.87,477.4,37576206
MSFT,XNAS,2025-06-23T00:00:00+00:00,478.21,487.75,472.51,486.0,24863952
MSFT,XNAS,2025-06-24T00:00:00+00:00,488.95,491.849,486.795,490.11,22305642
MSFT,XNAS,2025-06-25T00:00:00+00:00,492.04,494.5556,489.39,492.27,17495099
MSFT,XNAS,2025-06-26T00:00:00+00:00,492.98,498.04,492.81,497.45,21578853
MSFT,XNAS,2025-06-27T00:00:00+00:00,497.55,499.3,493.03,495.94,34539236
MSFT,XNAS,2025-06-30T00:00:00+00:00,497.04,500.76,495.33,497.41,28368991
MSFT,XNAS,2025-07-01T00:00:00+00:00,496.47,498.05,490.98,492.05,19945375
MSFT,XNAS,2025-07-02T00:00:00+00:00,489.99,493.5,488.7,491.09,16319641
MSFT,XNAS,2025-07-03T00:00:00+00:00,493.81,500.13,493.44,498.84,13984829
MSFT,XNAS,2025-07-07T00:00:00+00:00,497.38,498.75,495.225,497.72,13981605
MSFT,XNAS,2025-07-08T00:00:00+00:00,497.24,498.2,494.11,496.62,11846586
MSFT,XNAS,2025-07-09T00:00:00+00:00,500.3,506.78,499.74,503.51,18659538
MSFT,XNAS,2025-07-10T00:00:00+00:00,503.05,504.44,497.75,501.48,16498740
MSFT,XNAS,2025-07-11T00:00:00+00:00,498.47,505.03,497.795,503.32,16459512
MSFT,XNAS,2025-07-14T00:00:00+00:00,501.515,503.97,501.03,503.02,12058848
MSFT,XNAS,2025-07-15T00:00:00+00:00,503.02,508.3,502.79,505.82,14927202
MSFT,XNAS,2025-07-16T00:00:00+00:00,505.18,506.72,501.89,505.62,15154374
MSFT,XNAS,2025-07-17T00:00:00+00:00,505.68,513.37,505.62,511.7,17503129
MSFT,XNAS,2025-07-18T00:00:00+00:00,514.48,514.64,507.43,510.05,21209666
MSFT,XNAS,2025-07-21T00:00:00+00:00,506.705,512.09,505.55,510.06,14066805
MSFT,XNAS,2025-07-22T00:00:00+00:00,510.97,511.2,505.27,505.27,13868644
MSFT,XNAS,2025-07-23T00:00:00+00:00,506.75,506.79,500.7,505.87,16396585
MSFT,XNAS,2025-07-24T00:00:00+00:00,508.77,513.67,507.3,510.88,16107000
MSFT,XNAS,2025-07-25T00:00:00+00:00,512.465,518.29,510.3592,513.71,19125699
MSFT,XNAS,2025-07-28T00:00:00+00:00,514.08,515.0,510.12,512.5,14308027
MSFT,XNAS,2025-07-29T00:00:00+00:00,515.53,517.62,511.56,512.57,16469235
MSFT,XNAS,2025-07-30T00:00:00+00:00,515.17,515.95,509.435,513.24,26380434
MSFT,XNAS,2025-07-31T00:00:00+00:00,555.225,555.45,531.9,533.5,51617326
MSFT,XNAS,2025-08-01T00:00:00+00:00,535.0,535.8,520.86,524.11,28977628
MSFT,XNAS,2025-08-04T00:00:00+00:00,528.27,538.25,528.13,535.64,25349004
MSFT,XNAS,2025-08-05T00:00:00+00:00,537.18,537.3,527.24,527.75,19171569
MSFT,XNAS,2025-08-06T00:00:00+00:00,530.9,531.7,524.03,524.94,21355702
MSFT,XNAS,2025-08-07T00:00:00+00:00,526.8,528.09,517.5511,520.84,16079144
MSFT,XNAS,2025-08-08T00:00:00+00:00,522.6,524.66,519.41,522.04,15531009
MSFT,XNAS,2025-08-11T00:00:00+00:00,522.3,527.59,519.72,521.77,20194372
MSFT,XNAS,2025-08-12T00:00:00+00:00,523.75,530.98,522.7,529.24,18688921
GOOGL,XNAS,2025-05-15T00:00:00+00:00,165.84,166.205,162.3732,163.96,33146669
GOOGL,XNAS,2025-05-16T00:00:00+00:00,167.725,169.35,165.62,166.19,42846925
GOOGL,XNAS,2025-05-19T00:00:00+00:00,164.51,166.64,164.22,166.54,30426097
GOOGL,XNAS,2025-05-20T00:00:00+00:00,166.43,168.5,162.9,163.98,46607656
GOOGL,XNAS,2025-05-21T00:00:00+00:00,163.69,173.14,163.56,168.56,73415956
GOOGL,XNAS,2025-05-22T00:00:00+00:00,171.85,176.77,170.71,170.87,74864418
GOOGL,XNAS,2025-05-23T00:00:00+00:00,169.055,169.96,167.89,168.47,35211439
GOOGL,XNAS,2025-05-27T00:00:00+00:00,170.16,173.17,170.0,172.9,37995670
GOOGL,XNAS,2025-05-28T00:00:00+00:00,173.16,175.265,171.9107,172.36,34783997
GOOGL,XNAS,2025-05-29T00:00:00+00:00,174.0,174.4193,170.63,171.86,29373803
GOOGL,XNAS,2025-05-30T00:00:00+00:00,171.35,172.205,167.44,171.74,52639911
GOOGL,XNAS,2025-06-02T00:00:00+00:00,167.84,169.87,167.39,169.03,38612272
GOOGL,XNAS,2025-06-03T00:00:00+00:00,167.49,168.475,165.28,166.18,45084903
GOOGL,XNAS,2025-06-04T00:00:00+00:00,166.735,168.215,166.36,168.05,26900838
GOOGL,XNAS,2025-06-05T00:00:00+00:00,170.34,170.93,167.59,168.21,36444564
GOOGL,XNAS,2025-06-06T00:00:00+00:00,170.83,174.5,170.83,173.68,35731832
GOOGL,XNAS,2025-06-09T00:00:00+00:00,174.54,176.47,174.37,176.09,28935906
GOOGL,XNAS,2025-06-10T00:00:00+00:00,176.2,181.105,174.91,178.6,61766121
GOOGL,XNAS,2025-06-11T00:00:00+00:00,179.77,180.37,176.75,177.35,31646757
GOOGL,XNAS,2025-06-12T00:00:00+00:00,176.18,176.72,174.745,175.7,20941873
GOOGL,XNAS,2025-06-13T00:00:00+00:00,172.44,177.13,172.385,174.67,27663107
GOOGL,XNAS,2025-06-16T00:00:00+00:00,174.73,176.94,174.65,176.77,27389208
GOOGL,XNAS,2025-06-17T00:00:00+00:00,175.7,177.3648,174.58,175.95,24973043
GOOGL,XNAS,2025-06-18T00:00:00+00:00,176.01,176.56,173.2,173.32,28707524
GOOGL,XNAS,2025-06-20T00:00:00+00:00,173.945,174.34,165.46,166.64,75659917
GOOGL,XNAS,2025-06-23T00:00:00+00:00,166.27,167.34,162.0,165.19,57670985
GOOGL,XNAS,2025-06-24T00:00:00+00:00,166.92,168.22,166.13,166.77,40524312
GOOGL,XNAS,2025-06-25T00:00:00+00:00,167.63,172.36,167.55,170.68,35478989
GOOGL,XNAS,2025-06-26T00:00:00+00:00,172.43,173.69,169.94,173.54,31796690
GOOGL,XNAS,2025-06-27T00:00:00+00:00,173.54,178.68,171.73,178.53,108140200
GOOGL,XNAS,2025-06-30T00:00:00+00:00,180.78,181.23,174.58,176.23,63378856
GOOGL,XNAS,2025-07-01T00:00:00+00:00,175.735,176.09,173.53,175.84,35904526
GOOGL,XNAS,2025-07-02T00:00:00+00:00,175.54,178.86,175.07,178.64,29128947
GOOGL,XNAS,2025-07-03T00:00:00+00:00,178.5,179.67,177.05,179.53,21689729
GOOGL,XNAS,2025-07-07T00:00:00+00:00,179.06,179.297,175.68,176.79,34175648
GOOGL,XNAS,2025-07-08T00:00:00+00:00,177.85,177.95,172.81,174.36,40442535
GOOGL,XNAS,2025-07-09T00:00:00+00:00,175.25,179.44,172.77,176.62,43025594
GOOGL,XNAS,2025-07-10T00:00:00+00:00,175.63,178.429,174.38,177.62,29252386
GOOGL,XNAS,2025-07-11T00:00:00+00:00,176.785,181.43,176.48,180.19,34282922
GOOGL,XNAS,2025-07-14T00:00:00+00:00,181.01,183.67,179.68,181.56,32536632
GOOGL,XNAS,2025-07-15T00:00:00+00:00,182.81,184.22,181.6,182.0,33448251
GOOGL,XNAS,2025-07-16T00:00:00+00:00,183.235,184.327,182.03,182.97,33104193
GOOGL,XNAS,2025-07-17T00:00:00+00:00,182.14,184.06,180.48,183.58,31992565
GOOGL,XNAS,2025-07-18T00:00:00+00:00,185.4,186.42,183.71,185.06,34014509
GOOGL,XNAS,2025-07-21T00:00:00+00:00,186.25,190.285,186.15,190.1,45803129
GOOGL,XNAS,2025-07-22T00:00:00+00:00,191.495,191.645,187.46,191.34,44660215
GOOGL,XNAS,2025-07-23T00:00:00+00:00,191.5,192.53,189.18,190.23,58681948
GOOGL,XNAS,2025-07-24T00:00:00+00:00,197.03,197.95,191.0,192.17,74881687
GOOGL,XNAS,2025-07-25T00:00:00+00:00,191.98,194.33,191.26,193.18,39785863
GOOGL,XNAS,2025-07-28T00:00:00+00:00,193.65,194.05,190.84,192.58,38139504
GOOGL,XNAS,2025-07-29T00:00:00+00:00,192.43,195.92,192.08,195.75,41389153
GOOGL,XNAS,2025-07-30T00:00:00+00:00,195.6,197.5999,194.685,196.53,32445405
GOOGL,XNAS,2025-07-31T00:00:00+00:00,195.71,195.99,191.09,191.9,51329163
GOOGL,XNAS,2025-08-01T00:00:00+00:00,189.025,190.83,187.82,189.13,34832181
GOOGL,XNAS,2025-08-04T00:00:00+00:00,190.29,195.27,190.12,195.04,31547350
GOOGL,XNAS,2025-08-05T00:00:00+00:00,194.71,197.8599,193.885,194.67,31602340
GOOGL,XNAS,2025-08-06T00:00:00+00:00,194.5,196.63,193.67,196.09,21562908
GOOGL,XNAS,2025-08-07T00:00:00+00:00,197.06,197.54,194.33,196.52,26321811
GOOGL,XNAS,2025-08-08T00:00:00+00:00,197.22,202.61,197.17,201.42,39161826
GOOGL,XNAS,2025-08-11T00:00:00+00:00,200.935,201.475,199.07,201.0,25832435
GOOGL,XNAS,2025-08-12T00:00:00+00:00,201.365,204.5,200.59,203.34,30424452
BAC,XNYS,2025-05-15T00:00:00+00:00,44.6,44.98,44.01,44.38,47379372
BAC,XNYS,2025-05-16T00:00:00+00:00,44.33,44.79,43.655,44.69,49488135
BAC,XNYS,2025-05-19T00:00:00+00:00,44.11,45.14,44.11,44.77,37915717
BAC,XNYS,2025-05-20T00:00:00+00:00,44.59,44.91,44.41,44.69,33424251
BAC,XNYS,2025-05-21T00:00:00+00:00,44.38,44.49,43.145,43.25,55594058
BAC,XNYS,2025-05-22T00:00:00+00:00,43.175,43.57,42.96,43.31,29026187
BAC,XNYS,2025-05-23T00:00:00+00:00,42.395,43.43,42.35,43.2,34875060
BAC,XNYS,2025-05-27T00:00:00+00:00,43.79,44.22,43.295,44.22,36322007
BAC,XNYS,2025-05-28T00:00:00+00:00,44.21,44.4385,43.96,44.06,35673753
BAC,XNYS,2025-05-29T00:00:00+00:00,44.39,44.46,43.9,44.24,28553008
BAC,XNYS,2025-05-30T00:00:00+00:00,44.2,44.3,43.72,44.13,66537474
BAC,XNYS,2025-06-02T00:00:00+00:00,43.88,44.15,43.36,44.08,28582598
BAC,XNYS,2025-06-03T00:00:00+00:00,44.01,44.73,43.94,44.65,31320154
BAC,XNYS,2025-06-04T00:00:00+00:00,44.6,45.09,44.34,44.36,30591708
BAC,XNYS,2025-06-05T00:00:00+00:00,44.375,44.575,44.01,44.38,32036157
BAC,XNYS,2025-06-06T00:00:00+00:00,44.69,45.165,44.64,44.97,37013001
BAC,XNYS,2025-06-09T00:00:00+00:00,45.11,45.4,44.78,44.87,32414025
BAC,XNYS,2025-06-10T00:00:00+00:00,44.76,45.195,44.75,45.09,32229081
BAC,XNYS,2025-06-11T00:00:00+00:00,45.2,45.41,44.55,44.73,47873455
BAC,XNYS,2025-06-12T00:00:00+00:00,44.41,44.65,44.02,44.62,30165422
BAC,XNYS,2025-06-13T00:00:00+00:00,43.995,44.46,43.6649,44.09,43281740
BAC,XNYS,2025-06-16T00:00:00+00:00,44.63,44.89,44.35,44.41,34103646
BAC,XNYS,2025-06-17T00:00:00+00:00,44.27,44.67,44.06,44.23,27489633
BAC,XNYS,2025-06-18T00:00:00+00:00,44.26,45.2,44.21,45.06,37684730
BAC,XNYS,2025-06-20T00:00:00+00:00,45.305,45.65,45.265,45.5,64591572
BAC,XNYS,2025-06-23T00:00:00+00:00,45.425,46.37,45.105,46.3,42683615
BAC,XNYS,2025-06-24T00:00:00+00:00,46.74,47.19,46.565,46.66,45437593
BAC,XNYS,2025-06-25T00:00:00+00:00,46.575,46.98,46.46,46.85,33532391
BAC,XNYS,2025-06-26T00:00:00+00:00,46.945,47.58,46.9,47.46,40127021
BAC,XNYS,2025-06-27T00:00:00+00:00,47.45,47.67,46.91,47.12,56705021
BAC,XNYS,2025-06-30T00:00:00+00:00,47.62,47.62,47.03,47.32,47921177
BAC,XNYS,2025-07-01T00:00:00+00:00,47.02,48.42,46.94,48.15,48540877
